Ticker,Company,n_positions,avg_trade,total_pnl,worst_trade,best_trade,win_rate,avg_si
TPG,Tpg Telecom Limited.,4,-0.0044916588123027346,-0.0003195470208871172,-0.08369105477027516,0.10038617338090106,0.25,0.7375
KGN,Kogan.Com Ltd,15,-0.0018769746020903606,-0.0004944982029434315,-0.26252514989133635,0.19523803212575008,0.4666666666666667,1.5093333333333334
AZJ,Aurizon Holdings Ltd,2,-0.015789458279469815,-0.0005059880088347716,-0.0526315331494871,0.021052616590547468,0.5,2.42
AAC,Australian Agricult.,2,-0.017782285451626523,-0.0005889554449461495,-0.028571486959652947,-0.006993083943600098,0.0,0.22999999999999998
SUL,Super Cheap Auto Grp,3,-0.013825192393134659,-0.0006975644533629526,-0.2473260724779469,0.14789067889043572,0.6666666666666666,2.436666666666667
TYR,Tyro Payments,7,-0.006859238480504103,-0.0007995938050066732,-0.22368420915040055,0.3505535181960001,0.42857142857142855,0.8214285714285714
NIC,Nickelmineslimited,1,-0.05109492861930498,-0.000851582143655083,-0.05109492861930498,-0.05109492861930498,0.0,2.69
SRV,Servcorp Limited,5,-0.010807730126610137,-0.0008660169175473897,-0.06389092376890493,0.06078435984919195,0.4,0.422
PLS,Pilbara Min Ltd,8,-0.005513863162798033,-0.0008825616531149463,-0.2097902338858495,0.13291141293862885,0.5,16.22
BLX,Beacon Lighting Grp,3,-0.018068569820679354,-0.0008886181879022633,-0.1097561355872414,0.05405389673995287,0.6666666666666666,0.10333333333333333
ANZ,Anz Banking Grp Ltd,3,-0.01941934706451065,-0.0009473439795853296,-0.08646154752314206,0.07539309671516115,0.3333333333333333,0.37666666666666665
NUF,Nufarm Limited,3,-0.019755860616597915,-0.0009821217512875886,-0.09465021101024806,0.056391011476448205,0.3333333333333333,3.4599999999999995
HGO,Hillgrove Res Ltd,8,-0.007934560915255032,-0.0010335923940566673,-0.2830189528012039,0.12499997671693508,0.625,0.07
IDX,Integral Diagnostics,2,-0.031145684796544615,-0.00103491258456324,-0.07389162623148393,0.011600256638394701,0.5,4.525
MSB,Mesoblast Limited,19,-0.00257491478642949,-0.0010622757017329613,-0.6486486660641764,0.2268038985513906,0.6842105263157895,5.720526315789473
IAG,Insurance Australia,4,-0.017204418158432322,-0.0011460353309777369,-0.11561561540060916,0.10824252223450781,0.5,1.1875
BOQ,Bank Of Queensland.,6,-0.012757588669387717,-0.0012732261097911386,-0.09836060141209879,0.028985544265152097,0.5,4.948333333333333
RHC,Ramsay Health Care,4,-0.018351219545831993,-0.0013197671654420098,-0.1845434039170326,0.05740524319624518,0.75,4.7
A2M,The A2 Milk Company,1,-0.08450686747988811,-0.0014323197877947138,-0.08450686747988811,-0.08450686747988811,0.0,4.44
SGM,Sims Metal Mgmt Ltd,1,-0.09337351411501182,-0.001530713346147735,-0.09337351411501182,-0.09337351411501182,0.0,3.42
NCK,Nick Scali Limited,4,-0.024508961577908717,-0.0016081412163645573,-0.08865249997752844,0.051724218065458016,0.25,4.1775
PRN,Perenti Global Ltd,2,-0.05001376218894943,-0.0017230288240615722,-0.10526312157057616,0.005235597192677299,0.5,0.74
PNI,Pinnacle Investment,4,-0.02593202042637263,-0.0017498730778259207,-0.12470863580258018,0.10863613190796995,0.5,1.825
ARB,Arb Corporation.,10,-0.01036382013620718,-0.001811852983999236,-0.1710872769878624,0.13415290566580584,0.5,4.369
DTL,Data#3 Limited,1,-0.11063223705046199,-0.0018136432303354425,-0.11063223705046199,-0.11063223705046199,0.0,3.51
RIC,Ridley Corporation,4,-0.026356756740026938,-0.0018761679034630643,-0.15200014149835872,0.04513893868482821,0.5,0.6775
IFL,Ioof Holdings Ltd,4,-0.02882079893464995,-0.0019342421424415647,-0.17351589807894907,0.0406320170008061,0.5,3.7199999999999998
AMI,Aurelia Metals Ltd,1,-0.11627902624863751,-0.0019708309533667374,-0.11627902624863751,-0.11627902624863751,0.0,0.03
AMA,Ama Group Limited,8,-0.016563711194749073,-0.002025891404051519,-0.499998770207182,0.6185946208908153,0.5,3.5325
PPT,Perpetual Limited,5,-0.024563413342550234,-0.0020898131445627136,-0.14049591893712887,0.2154613753265201,0.2,3.008
HUB,Hub24 Ltd,3,-0.04653507702120141,-0.0022886103453049877,-0.12919517989309903,0.06246166702123057,0.3333333333333333,0.6133333333333334
WOW,Woolworths Limited,4,-0.03586016164702277,-0.0025362675446151707,-0.16354228450350372,0.08471890040065899,0.25,2.13
MFG,Magellan Fin Grp Ltd,5,-0.029820336285225468,-0.002536687800729089,-0.2025610039168393,0.20846778758624906,0.4,2.682
BEN,Bendigo And Adelaide,6,-0.025247290996788647,-0.002555767141818182,-0.10479287887239241,0.01713868678070496,0.3333333333333333,2.3916666666666666
TPW,Temple & Webster Ltd,2,-0.07881552597308528,-0.002602547093904459,-0.12446358887712816,-0.03316746306904239,0.0,2.025
PPE,Peopleinfrastructure,5,-0.03219390504616455,-0.0027229246620042572,-0.12413789077831505,0.05517244157552914,0.4,0.082
ABY,Aditya Birla,22,-0.009053223899306023,-0.002784896848861686,-0.4759358200136077,0.5636363828477777,0.5,0.97
LKE,Lake Resources,24,-0.004791373884901297,-0.0028134623408459184,-1.0571427598291518,0.4,0.625,2.40875
IXR,Imx Resources Ltd,26,-0.006621768241341953,-0.0028615426878822858,-0.5000000931322595,0.4,0.4230769230769231,0.09153846153846154
IGO,Independence Group,5,-0.0348316227481259,-0.0030392040227351282,-0.30097094232978483,0.19269773678375168,0.4,7.144
SLC,Superloop Limited,2,-0.09548068139654198,-0.0031305141441489177,-0.13793111244365175,-0.053030250349432206,0.0,0.43
SFR,Sandfire Resources,4,-0.048274205008720955,-0.0032428636011285032,-0.08393955957219457,0.003189789631156903,0.25,3.685
SXL,Sthn Cross Media,13,-0.016195221541729074,-0.0034443251344471394,-0.17763156744665332,0.1384614628697588,0.38461538461538464,0.9938461538461538
MAD,Maverick Drilling,10,-0.020106985603191362,-0.003511609809690195,-0.17010943500297815,0.16023824520485697,0.5,0.647
GPR,Geopacific Resources,7,-0.031260838756290474,-0.003557671506499576,-0.4000000124176346,0.3157894375664364,0.2857142857142857,0.0014285714285714286
CBA,Commonwealth Bank.,10,-0.021280565287929598,-0.0036363659038710127,-0.18476043013281873,0.06738239706434201,0.5,1.192
INR,Ioneer Ltd,12,-0.020029439121083275,-0.0037894548552956627,-0.3939393638360391,0.30232556527727317,0.4166666666666667,4.0424999999999995
SHV,Select Harvests,23,-0.009919134767326256,-0.003892202092785518,-0.34983504660296405,0.27109978463668516,0.4782608695652174,4.518260869565218
PWH,Pwr Holdings Limited,24,-0.0094634110941399,-0.0038989105261345238,-0.2853436703662624,0.13190526917832912,0.5,6.15375
FBR,Fastbrick Robotics,11,-0.023318891857726762,-0.0041221748822112235,-0.916666653731631,0.4736842053666338,0.5454545454545454,0.3436363636363637
PPK,Ppk Group Limited,18,-0.014937991552761216,-0.00461725489447542,-0.4531250436557466,0.2148148710672083,0.5555555555555556,0.24333333333333332
DUB,Dubber Corp Ltd,27,-0.01099232904231807,-0.0047237678150541616,-0.6785713192835787,0.40625004729372227,0.5555555555555556,0.6025925925925926
ANG,Austin Engineering,7,-0.04314032802742814,-0.005039414518048507,-0.2222221488307996,0.08593746452970663,0.42857142857142855,0.19571428571428573
TLX,Telix Pharmaceutical,4,-0.07460051784452065,-0.005156793842748513,-0.3649999618530273,0.10604026605081918,0.5,13.875
CKF,Collins Foods Ltd,4,-0.07775578419162996,-0.005222749420965622,-0.2072071901356145,0.013753037620979014,0.25,2.6950000000000003
IMU,Imugene Limited,17,-0.01959371513210968,-0.005341822161365606,-1.0487803710025552,0.3100000322566304,0.6470588235294118,4.738235294117647
AIS,Aeris Resources Ltd,16,-0.01691882029304747,-0.005358179787632651,-1.1111111405455043,0.3157915170785819,0.5625,1.2575
BVS,Bravura Solution Ltd,2,-0.1689697536952064,-0.0055399919244329965,-0.41176499772101116,0.07382549033059838,0.5,0.77
BRU,Buru Energy,4,-0.08979990949706182,-0.005888518655545038,-0.250000020246143,0.060000046193599,0.5,0.02
PPS,Praemium Limited,6,-0.058445390285934394,-0.005915142241668446,-0.14666663383476708,0.07291661622365375,0.3333333333333333,0.5866666666666667
IRE,Iress Market Tech.,3,-0.12000507744839188,-0.006002680160957304,-0.3611585445613874,0.009732373639707359,0.3333333333333333,2.483333333333333
AGI,Ainsworth Game Tech.,5,-0.07326421596814292,-0.006284509893875858,-0.3270142613865499,0.11344546485810492,0.2,0.16599999999999998
BGA,Bega Cheese Ltd,10,-0.03905484365217814,-0.006383199924335028,-0.14682529380525988,0.08177172545681732,0.4,2.8
